Alloy,Finish,Length_m,Weight_kg_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Steel,Powder coated,37.2,1.495,Isolerprofil,0.11317510321685113,low,33067,2.7,micro,2.0,4.15,2025-09-02
Nickel,Plasma sprayed,17.1,1.468,Rörprofil,0.13859986650184652,high,36195,2.75,small,4.0,4.09,2025-12-04
Brass,Blackening,37.4,0.96,Pärlspont,0.05986355730332263,high,90326,3.21,large,6.0,3.14,2025-04-18
Titanium,Anodized,23.9,1.11,Hörnvinkel,0.055807358097353675,medium,150442,3.76,medium,7.0,2.07,2025-07-31
Steel,Anodized,18.1,1.164,Korsprofil,0.17731353631348512,low,75268,3.98,large,2.0,3.4,2025-06-05
Tin,Polished,27.0,1.57,Ändprofil,0.19550251523851728,high,72397,3.61,medium,,3.45,2025-01-26
Copper,Plasma sprayed,21.7,1.091,Spröjsprofil,0.1252541929776125,high,47632,2.72,large,4.0,3.89,2025-03-23
Steel,Polished,22.3,1.029,H-profil,0.06319314084456032,medium,46921,3.62,medium,11.0,3.9,2025-03-24
Brass,Plasma sprayed,22.8,1.709,Ramlist,0.05841773702575778,medium,109170,3.56,micro,,2.8,2025-05-11
Titanium,Hot-dip galvanized,34.3,0.845,Vinkellist,0.17250574274581623,low,50474,3.83,medium,12.0,3.84,2025-11-25
Nickel,Powder coated,28.2,1.746,Pärlspont,0.12619449256497545,high,156657,3.86,medium,3.0,1.96,2025-04-10
Brass,Hot-dip galvanized,22.9,1.454,Täckprofil,0.10341079378628493,low,131489,3.93,large,9.0,2.41,2025-09-13
Brass,Phosphated,29.9,1.592,Vinkellist,0.11352497044822966,low,72802,3.21,large,4.0,3.45,2025-02-18
Copper,Brushed,32.3,1.106,Glasningslist,0.10085149749545577,low,68974,3.66,large,7.0,3.51,2025-03-04
Zinc,Electroplated,22.0,0.85,Sidoprofil,0.1403797750716287,low,69560,2.98,small,3.0,3.5,2025-11-07
Titanium,Plasma sprayed,25.3,1.509,Glasningslist,0.17900836509053258,medium,74798,4.14,small,8.0,3.41,2025-10-17
Aluminium,Phosphated,18.5,1.597,Clipsprofil,0.15019476562169268,medium,99909,2.83,medium,5.0,2.97,2025-04-15
Brass,Brushed,19.9,1.512,Isolerprofil,0.15183475872082877,high,81764,2.57,medium,10.0,3.29,2025-04-15
