Alloy,Finish,Length_m,Weight_kg_per_m,Profile_Name,Tolerances,GD_T,Order_Quantity,LME_Price_EUR,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date
Steel,Powder coated,37.2,1.495,Clipsprofil,0.11427460255550508,low,33067,2.7,micro,,4.15,2025-09-02
Nickel,Plasma sprayed,17.1,1.468,Rörprofil,0.12599421055956653,high,36195,2.75,small,4.0,4.09,2025-12-04
Brass,Blackening,37.4,0.96,Pärlspont,0.06995633279793463,high,90326,3.21,large,6.0,3.14,2025-04-18
Titanium,Anodized,23.9,1.11,Hörnvinkel,0.0652210235075836,medium,150442,3.76,medium,7.0,2.07,2025-07-31
Steel,Anodized,18.1,1.164,Korsprofil,0.17557925499855573,low,75268,3.98,large,2.0,3.4,2025-06-05
Tin,Polished,27.0,1.57,Ändprofil,0.2,high,72397,3.61,medium,,3.45,2025-01-26
Copper,Plasma sprayed,21.7,1.091,Spröjsprofil,0.10475533382766307,high,47632,2.72,large,4.0,3.89,2025-03-23
Steel,Polished,22.3,1.029,H-profil,0.06669307297108922,low,46921,3.62,medium,11.0,3.9,2025-03-24
Brass,Plasma sprayed,22.8,1.709,Ramlist,0.05,medium,109170,3.56,micro,,2.8,2025-05-11
Titanium,Hot-dip galvanized,34.3,0.845,Vinkellist,0.1833016503860774,low,50474,3.83,medium,12.0,3.84,2025-11-25
Nickel,Powder coated,28.2,1.746,Pärlspont,0.11287662948082541,medium,156657,3.86,medium,3.0,1.96,2025-04-10
Brass,Hot-dip galvanized,22.9,1.454,Täckprofil,0.093701044338738,low,131489,3.93,large,9.0,2.41,2025-09-13
Brass,Phosphated,29.9,1.592,Vinkellist,0.11795951230371542,low,72802,3.21,large,4.0,3.45,2025-02-18
Copper,Brushed,32.3,1.106,Glasningslist,0.0942257728822792,low,68974,3.66,large,7.0,3.51,2025-03-04
Zinc,Electroplated,22.0,0.85,Sidoprofil,0.12021049579915805,low,69560,2.98,small,3.0,3.5,2025-11-07
Titanium,Plasma sprayed,25.3,1.509,Glasningslist,0.1682704288160868,medium,74798,4.14,small,8.0,3.41,2025-10-17
Aluminium,Phosphated,18.5,1.597,Clipsprofil,0.13383877569910885,medium,99909,2.83,medium,5.0,2.97,2025-04-15
Brass,Brushed,19.9,1.512,Isolerprofil,0.1575048711712346,high,81764,2.57,medium,10.0,3.29,2025-04-15
Zinc,Blackening,31.5,0.967,Glasningslist,0.10114393957715508,high,104105,2.79,micro,11.0,2.89,2025-11-21
Aluminium,Chrome plated,19.9,1.523,Spröjsprofil,0.1600443944116466,medium,97219,3.78,micro,10.0,3.01,2025-01-15
Titanium,Powder coated,27.9,1.538,Foglist,0.15250683544636476,medium,160864,3.26,medium,8.0,1.89,2025-06-24
Iron,Polished,32.1,1.437,Sidoprofil,0.07292227358872803,medium,86769,3.26,small,9.0,3.2,2025-09-16
Tin,Polished,18.2,1.535,Hakprofilslist,0.14532803278178696,low,49494,4.07,medium,4.0,3.86,2025-07-30
Zinc,Hot-dip galvanized,28.9,1.608,L-profil,0.09335894764391083,high,59111,4.01,micro,,3.69,2025-09-16
Lead,Anodized,21.7,1.396,Spröjsprofil,0.15370962152415601,medium,104677,3.04,small,6.0,2.88,2025-04-12
Iron,Brushed,38.0,0.918,Skenprofil,0.11903384193295419,high,158037,2.88,small,,1.94,2025-09-17
Tin,Chrome plated,26.9,1.281,Z-profil,0.18723722604741286,medium,76023,3.9,micro,11.0,3.39,2025-12-10
Copper,Phosphated,34.4,0.908,Doldbeslag,0.0551325758551663,medium,132636,3.99,medium,8.0,2.39,2025-06-08
