Alloy,Finish,Length,Weight,Tolerances,GD_T,Order_Quantity,LME_price,Customer_Category,Lead_Time_weeks,Quote_Price_SEK,Quote_Date,Profile_Name,Profile_Complexity,Manufacturing_Difficulty,LME_MA_7,LME_Lag_1
0.0,4.0,17.6,1.718,0.147,0.0,50862,2.75,2.0,11.0,3.86,2025-01-01,2.9937236900826454,1.5953815950582277,1,2.75,2.75
1.0,3.0,27.0,1.245,0.067,2.0,116471,2.96,1.0,9.0,2.66,2025-01-01,3.09652277694896,1.3178343903050371,1,2.855,2.75
2.0,4.0,24.1,0.885,0.099,2.0,63929,3.97,2.0,7.0,3.69,2025-01-02,3.041944162037055,1.2859090494248528,2,3.2266666666666666,2.96
2.0,4.0,26.1,1.042,0.152,1.0,120204,2.83,3.0,10.0,2.73,2025-01-02,3.1466564880282992,1.70325054379874,1,3.1275,3.97
2.0,3.0,34.8,1.368,0.118,0.0,94419,3.59,1.0,2.0,2.98,2025-01-03,3.014675390930565,1.3821936844853766,2,3.22,2.83
0.0,7.0,16.0,1.01,0.143,1.0,115865,3.51,3.0,8.0,2.62,2025-01-04,3.021062726997556,0.6671322314343759,2,3.268333333333333,3.59
0.0,6.0,31.8,1.586,0.12,2.0,37447,3.33,1.0,12.0,4.41,2025-01-04,3.026463940914762,1.7733320428523986,1,3.277142857142857,3.51
1.0,7.0,35.6,1.187,0.183,2.0,108625,2.75,0.0,10.0,2.86,2025-01-05,3.087997768086914,1.727140615946929,1,3.277142857142857,3.33
1.0,3.0,30.0,1.717,0.132,1.0,80932,4.13,0.0,8.0,3.33,2025-01-05,2.99752,1.0481477988654677,3,3.4442857142857144,2.75
1.0,3.0,31.2,1.719,0.097,0.0,40261,3.82,1.0,5.0,4.19,2025-01-05,2.8745017071655603,1.4141658225651041,3,3.422857142857143,4.13
2.0,4.0,34.0,1.529,0.165,1.0,95548,4.05,2.0,7.96,2.91,2025-01-06,3.011032233730564,1.5019282959158329,2,3.597142857142857,3.82
5.0,3.0,23.2,1.512,0.129,1.0,70559,2.65,2.0,7.0,3.41,2025-01-07,2.9604674090272924,1.204135640437208,1,3.462857142857142,4.05
0.0,2.0,25.2,1.141,0.061,2.0,89976,4.13,2.0,11.0,3.11,2025-01-07,3.026463940914762,1.5964341868860137,3,3.551428571428571,2.65
3.0,4.0,32.7,1.635,0.183,2.0,158898,3.96,1.0,11.0,1.62,2025-01-08,2.99752,1.0592504702590773,3,3.641428571428571,4.13
3.0,4.0,32.3,1.487,0.172,0.0,83275,2.95,1.0,6.0,3.03,2025-01-08,2.8745017071655603,1.920881315347237,1,3.67,3.96
3.0,5.0,38.1,1.625,0.191,0.0,73128,3.21,2.0,8.0,3.42,2025-01-08,3.021062726997556,1.7316923681062275,3,3.5385714285714287,2.95
3.0,1.0,31.0,1.203,0.159,2.0,50248,2.58,0.0,3.0,3.62,2025-01-08,2.994224845840621,0.5028310465082031,2,3.361428571428571,3.21
